id,ko_raw,en,paren_contents,paren_types,reviewed,ko_forms
r3442,주대각(선),leading diagonal,선,optional,yes,주대각선 | 주대각
r3443,주대각(선),main diagonal,선,optional,yes,주대각선 | 주대각
r3527,중복설계(법),overlap design,법,optional,yes,중복설계법 | 중복설계
r3553,중위적 비편향(인),median unbiased,인,optional,yes,중위적 비편향인 | 중위적 비편향
r3563,증가(하는),increasing,하는,optional,yes,증가하는 | 증가
r3576,지렛대값(지레값),leverage value,지레값,alternative,yes,지렛대값 | 지레값
r3578,지렛대점(지레점),leverage point,지레점,alternative,yes,지렛대점 | 지레점
r3606,"지침(서), 프로토콜",protocol,서,optional,yes,지침서 | 지침 | 프로토콜
r3683,짝(의)[쌍체] t 검정[검증],paired t-test,의,optional,yes,짝의 t 검정 | 짝의 t 검증 | 쌍체 t 검정 | 쌍체 t 검증 | 짝 t 검정 | 짝 t 검증
r3686,"짝비교, 쌍(체)비교, 대응비교",paired comparison,체,optional,yes,짝비교 | 쌍체비교 | 쌍비교 | 대응비교
r3691,"짝자료, 쌍(체)자료",paired data,체,optional,yes,짝자료 | 쌍체자료 | 쌍자료
r3767,재귀(성)상태,recurrent state,성,optional,yes,재귀성상태 | 재귀상태
r3781,재현(가능)성,reproducibility,가능,optional,yes,재현가능성 | 재현성
r3792,적분가능(한),integrable,한,optional,yes,적분가능한 | 적분가능
r3804,적합(성)결여,lack of fit,성,optional,yes,적합성결여 | 적합결여
r3809,전개(식),expansion,식,optional,yes,전개식 | 전개
r3862,절반파종대상(재배법),half-drill strip,재배법,optional,yes,절반파종대상재배법 | 절반파종대상
r3877,점(마다) 수렴,pointwise convergence,마다,optional,yes,점마다 수렴 | 점 수렴
r3882,점근(적)표준오차,asymptotic standard error,적,optional,yes,점근적표준오차 | 점근표준오차
r3897,점근적(인),asymptotic,인,optional,yes,점근적인 | 점근적
r3970,"정상(적), 시불변(적), 정류(적)",stationary,적;적;적,optional;optional;optional,yes,정상적 | 정상 | 시불변적 | 시불변 | 정류적 | 정류
r3971,정상(점),peak,점,optional,yes,정상점 | 정상
r3985,정수계획(법),integer programming,법,optional,yes,정수계획법 | 정수계획
r3992,"정준(적), 표준(적)",canonical,적;적,optional;optional,yes,정준적 | 정준 | 표준적 | 표준
r3999,"정준연결(함수), 표준연결",canonical link,함수,optional,yes,정준연결함수 | 정준연결 | 표준연결
r4059,척도(화)이탈도[편차],scaled deviance,화,optional,yes,척도화이탈도 | 척도화이편차 | 척도이탈도 | 척도이편차
r4123,최대불변(량),maximal invariant,량,optional,yes,최대불변량 | 최대불변
r4162,최소우호(적),least favorable,적,optional,yes,최소우호적 | 최소우호
r4181,"최장연결(법), 완전연결(법)",complete linkage,법;법,optional;optional,yes,최장연결법 | 최장연결 | 완전연결법 | 완전연결
r4191,최적배분(법),optimum allocation,법,optional,yes,최적배분법 | 최적배분
r4250,출생(대)사망 비,birth-death ratio,대,optional,yes,출생대사망 비 | 출생사망 비
r4272,층화 이단(계)표본추출,stratified two-stage sampling,계,optional,yes,층화 이단계표본추출 | 층화 이단표본추출
r4342,크기비례(표본)추출법,probability proportional to size sampling,표본,optional,yes,크기비례표본추출법 | 크기비례추출법
r4421,"티켓 표집, 티켓 추출(법)",ticket sampling,법,optional,yes,티켓 표집 | 티켓 추출법 | 티켓 추출
r4422,타당성(검사),validation,검사,optional,yes,타당성검사 | 타당성
r4500,"편향(된), 치우친",biased,된,optional,yes,편향된 | 편향 | 치우친
r4525,평균대체(법),mean imputation,법,optional,yes,평균대체법 | 평균대체
r4537,평균연결(법),average linkage,법,optional,yes,평균연결법 | 평균연결
r4576,"평행(선), 나란한",parallel,선,optional,yes,평행선 | 평행 | 나란한
r4577,평행(성),parallelism,성,optional,yes,평행성 | 평행
r4589,평활(방)법,smoothing method,방,optional,yes,평활방법 | 평활법
r4590,"평활(화), 매끄럽게함",smoothing,화,optional,yes,평활화 | 평활 | 매끄럽게함
r4624,포화(된),saturated,된,optional,yes,포화된 | 포화
r4635,표류(하는) 브라운 운동,Brownian motion with drift,하는,optional,yes,표류하는 브라운 운동 | 표류 브라운 운동
r4638,표본(의) 크기,sample size,의,optional,yes,표본의 크기 | 표본 크기
r4821,행렬(의) 대각화,matrix diagonalization,의,optional,yes,행렬의 대각화 | 행렬 대각화
r4889,"확대행렬, 덧붙임(덧붙인) 행렬",augmented matrix,덧붙인,alternative,yes,확대행렬 | 덧붙임 행렬 | 덧붙인 행렬
r4892,확률(적)변수,stochastic variable,적,optional,yes,확률적변수 | 확률변수
r4931,확률적 회귀대체(법),stochastic regression imputation,법,optional,yes,확률적 회귀대체법 | 확률적 회귀대체
r4934,확률적으로 큰(작은),stochastically larger(smaller),작은,optional,yes,확률적으로 큰작은 | 확률적으로 큰
r4952,확산사전(분포),diffuse prior,분포,optional,yes,확산사전분포 | 확산사전
r4961,환경통계(학),environmental statistics,학,optional,yes,환경통계학 | 환경통계
r4995,효율(성),efficiency,성,optional,yes,효율성 | 효율
r4996,효율(적)추정,efficient estimation,적,optional,yes,효율적추정 | 효율추정
r5009,후향(적)연구,retrospective study,적,optional,yes,후향적연구 | 후향연구
r5020,희박(한)행렬,sparse matrix,한,optional,yes,희박한행렬 | 희박행렬
